acl 2.3.2-1
arch-install-scripts 28-1
archlinux-keyring 20240313-1
argon2 20190702-5
attr 2.5.2-1
audit 4.0.1-2
base 3-2
bash 5.2.026-2
brotli 1.1.0-1
bzip2 1.0.8-6
ca-certificates 20220905-1
ca-certificates-mozilla 3.99-1
ca-certificates-utils 20220905-1
coreutils 9.5-1
cryptsetup 2.7.1-1
curl 8.7.1-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
device-mapper 2.03.23-3
e2fsprogs 1.47.0-2
expat 2.6.2-1
file 5.45-1
filesystem 2024.01.19-1
findutils 4.9.0-3
gawk 5.3.0-1
gcc-libs 13.2.1-5
gdbm 1.23-2
gettext 0.22.4-1
glib2 2.80.0-2
glibc 2.39-1
gmp 6.3.0-1
gnupg 2.4.5-1
gnutls 3.8.4-1
gpgme 1.23.2-1
grep 3.11-1
gzip 1.13-2
hwdata 0.380-1
iana-etc 20240222-1
icu 74.2-2
iproute2 6.8.0-1
iptables 1:1.8.10-1
iputils 20240117-1
json-c 0.17-1
kbd 2.6.4-1
keyutils 1.6.3-2
kmod 32-1
krb5 1.21.2-2
libarchive 3.7.2-1
libassuan 2.5.7-1
libbpf 1.3.0-1
libcap 2.69-4
libcap-ng 0.8.4-1
libelf 0.191-1
libevent 2.1.12-4
libffi 3.4.6-1
libgcrypt 1.10.3-1
libgpg-error 1.48-1
libidn2 2.3.7-1
libksba 1.6.6-1
libldap 2.6.7-1
libmnl 1.0.5-2
libnetfilter_conntrack 1.0.9-2
libnfnetlink 1.0.2-2
libnftnl 1.2.6-1
libnghttp2 1.60.0-1
libnghttp3 1.2.0-1
libnl 3.9.0-1
libp11-kit 0.25.3-1
libpcap 1.10.4-1
libpsl 0.21.2-1
libsasl 2.1.28-4
libseccomp 2.5.5-2
libsecret 0.21.4-1
libssh2 1.11.0-1
libsysprof-capture 46.0-1
libtasn1 4.19.0-1
libtirpc 1.3.4-1
libunistring 1.2-1
libusb 1.0.27-1
libutempter 1.2.1-4
libverto 0.3.2-5
libxcrypt 4.4.36-1
libxml2 2.12.6-1
licenses 20240206-1
linux-api-headers 6.7-1
lz4 1:1.9.4-3
mpfr 4.2.1-2
ncurses 6.4_20230520-1
nettle 3.9.1-1
npth 1.7-1
openssl 3.2.1-1
p11-kit 0.25.3-1
pacman 6.1.0-3
pacman-mirrorlist 20231001-1
pam 1.6.0-4
pambase 20230918-1
pciutils 3.11.1-1
pcre2 10.43-1
pinentry 1.3.0-1
popt 1.19-1
procps-ng 4.0.4-3
psmisc 23.7-1
readline 8.2.010-1
sed 4.9-3
shadow 4.15.1-1
sqlite 3.45.2-1
systemd 255.4-2
systemd-libs 255.4-2
systemd-sysvcompat 255.4-2
tar 1.35-2
tpm2-tss 4.0.1-1
tzdata 2024a-1
util-linux 2.40-1
util-linux-libs 2.40-1
xz 5.6.1-2
zlib 1:1.3.1-1
zstd 1.5.5-1
